prov lingala	French	signification
Bato bazali lokola misapi ya loboko: bakokani te, kasi basalaka elongo.	Les hommes sont comme les doigts d'une main : ils ne sont pas identiques, mais ils travaillent ensemble.	Les différences n'empêchent pas la coopération.
Moto oyo abungi nzela atunaka.	Celui qui a perdu son chemin demande.	Demander conseil est une preuve de sagesse, pas de faiblesse.
Likambo oyo ebombami mingi, mokolo moko ebimaka.	Ce qui est longtemps caché finit un jour par sortir.	La vérité finit souvent par se révéler.
Lokuta ezalaka na makolo mikuse.	Le mensonge a les jambes courtes.	Un mensonge ne va jamais très loin avant d'être découvert.
Maloba ya mokolo moko ekoki kobebisa boninga ya bambula.	Une parole d'un seul jour peut détruire une amitié de plusieurs années.	Il faut mesurer ses paroles, car elles peuvent avoir de lourdes conséquences.
Moto oyo ayoki te, amonaka na miso.	Celui qui ne veut pas écouter finit par voir de ses propres yeux.	Qui refuse les conseils apprend souvent par les conséquences.
Soki moto akebisi yo, yoka liboso osala.	Si quelqu'un t'avertit, écoute avant d'agir.	Les avertissements méritent d'être considérés avant de prendre une décision.
Noki ezali malamu te na makambo nyonso.	La précipitation n'est pas bonne dans toutes les choses.	Certaines décisions demandent réflexion et patience.
Moto ya posa mingi akoki kobungisa nyonso.	Celui qui veut trop peut tout perdre.	L'avidité et l'excès peuvent conduire à la perte.
Mbongo ekoki kosomba biloko, kasi ekoki kosomba motema te.	L'argent peut acheter des choses, mais il ne peut pas acheter le cœur.	Les sentiments sincères et l'affection ne s'achètent pas.
Bomengo ya solo ezali bato oyo bazali pembeni na yo.	La vraie richesse, ce sont les personnes qui sont à tes côtés.	Les relations humaines peuvent valoir plus que les biens matériels.
Moto oyo azali na baninga azangi nzela te.	Celui qui a des amis ne manque pas de chemin.	Un bon réseau d'amitié et d'entraide aide à surmonter les difficultés.
Bolingo ezangi limemya eumelaka te.	L'amour sans respect ne dure pas.	Le respect est indispensable à toute relation durable.
Kimia eleki bitumba.	La paix vaut mieux que la guerre.	Il est préférable de rechercher la réconciliation plutôt que le conflit.
Kanda ezali mopesi-toli ya mabe.	La colère est une mauvaise conseillère.	Il ne faut pas prendre de décisions importantes sous l'effet de la colère.
Soki motema ezwi kimia, makanisi ebongaka.	Quand le cœur retrouve la paix, les pensées deviennent plus claires.	Le calme aide à mieux réfléchir et décider.
Moto oyo alingi koyeba mingi asengeli koyoka mingi.	Celui qui veut beaucoup apprendre doit beaucoup écouter.	L'écoute est une condition essentielle de l'apprentissage.
Mayele ekolaka na mituna.	La sagesse grandit par les questions.	Poser des questions permet d'élargir sa connaissance.
Koyeba nyonso ezali ya Nzambe, moto ayekolaka mokolo na mokolo.	Tout savoir appartient à Dieu ; l'homme apprend chaque jour.	L'être humain doit rester humble et continuer à apprendre.
Mosala ezangi molende epesaka mbuma mingi te.	Un travail sans effort ne donne pas beaucoup de fruits.	La réussite demande engagement et persévérance.
Lelo nde ebotaka lobi.	Aujourd'hui donne naissance à demain.	Les actions présentes déterminent en grande partie l'avenir.
Oyo osali lelo ekoki kozongela yo lobi.	Ce que tu fais aujourd'hui peut te revenir demain.	Nos actes ont souvent des conséquences futures.
Moto oyo aboya mosala, aboya mpe mbuma na yango.	Celui qui refuse le travail refuse aussi ses fruits.	On ne peut espérer les résultats sans fournir les efforts nécessaires.
Tala liboso okata nzela.	Regarde avant de traverser le chemin.	Il faut observer et réfléchir avant d'agir.
Keba na moto oyo alobaka malamu kasi asalaka mabe.	Méfie-toi de celui qui parle bien mais agit mal.	Les actes sont plus fiables que les beaux discours.
Monoko ekoki kotonga, monoko mpe ekoki kobebisa.	La bouche peut construire, et la bouche peut aussi détruire.	Les paroles peuvent encourager ou blesser profondément.
Maloba ya malamu ezongisaka motema na bomoi.	Une bonne parole redonne vie au cœur.	Des paroles encourageantes peuvent redonner espoir.
Soki okoki kobongisa te, kobebisa mpe te.	Si tu ne peux pas améliorer, ne détruis pas non plus.	Il vaut mieux ne pas nuire lorsqu'on ne peut pas aider.
Moto oyo apesaka, azangaka baninga te.	Celui qui donne ne manque pas d'amis.	La générosité crée des liens et favorise l'entraide.
Kopesa ezali koleka kozwa.	Donner vaut mieux que recevoir.	La générosité procure une valeur morale supérieure au simple fait de recevoir.
Ndeko azali ndeko ata na mpasi.	Un frère reste un frère même dans les difficultés.	Les liens sincères se révèlent surtout dans les moments difficiles.
Libota oyo esololaka ebebaka noki te.	Une famille qui dialogue ne se brise pas facilement.	La communication protège et renforce les liens familiaux.
Esika bato bazali na bomoko, makasi ezalaka mingi.	Là où les gens sont unis, la force est grande.	L'unité augmente la capacité d'un groupe à surmonter les difficultés.
Moto moko azali moto mpo na bato mosusu.	Une personne est une personne grâce aux autres.	L'identité et la réussite individuelles dépendent aussi de la communauté.
Ntango ezali monganga.	Le temps est un médecin.	Avec le temps, certaines douleurs et blessures émotionnelles s'apaisent.
Mokolo moko ekoki kobongola bomoi mobimba.	Un seul jour peut changer toute une vie.	Un événement ou une décision peut transformer profondément l'existence.
Moto ayekolaka tii na suka ya bomoi.	L'homme apprend jusqu'à la fin de sa vie.	L'apprentissage ne s'arrête jamais.
Soki nzela ezali molai, tambola mokemoke kasi kotelema te.	Si le chemin est long, avance lentement mais ne t'arrête pas.	La constance est plus importante que la vitesse.
Elikya ezali bomoi.	L'espoir, c'est la vie.	Garder l'espoir aide à continuer malgré les épreuves.
Moto oyo ayebi nzela atambolaka na bokebi.	Celui qui connaît le chemin marche avec prudence.	L'expérience n'exclut pas la vigilance.
Likambo ya lelo ebongisama lelo.	L'affaire d'aujourd'hui se règle aujourd'hui.	Il vaut mieux ne pas toujours remettre à demain ce qui peut être fait maintenant.
Kobanga ebele ekangaka nzela.	Trop de peur ferme le chemin.	La peur excessive peut empêcher d'avancer.
Mayi ekendaka epai nzela efungwami.	L'eau va là où le chemin est ouvert.	Les choses avancent plus facilement quand les conditions sont favorables.
Nzete ekolaka mokemoke.	L'arbre grandit peu à peu.	Les progrès durables prennent du temps.
Mbula ekoki konoka makasi, kasi moi ezongaka.	La pluie peut tomber fortement, mais le soleil revient.	Les difficultés ne durent pas éternellement.
Moto oyo atali kaka sima akoki kobeta libaku.	Celui qui regarde toujours derrière lui peut trébucher.	Il faut apprendre du passé sans cesser d'avancer.
Soki porte moko ekangami, luka nzela mosusu.	Si une porte se ferme, cherche un autre chemin.	Un obstacle n'est pas toujours la fin d'une possibilité.
Mokili ebalukaka, moto mpe asengeli koyeba kobongwana.	Le monde change, et l'homme doit savoir s'adapter.	La capacité d'adaptation est essentielle dans la vie.
Moto oyo azali na elikya akangaka nzela te.	Celui qui garde espoir ne ferme pas son chemin.	L'espoir maintient les possibilités ouvertes.
Mwana ayekolaka na oyo amonaka.	L'enfant apprend de ce qu'il voit.	L'exemple donné par les adultes compte autant que les paroles.
Libota ezali nzete, bato na yango bazali bitape.	La famille est un arbre, ses membres sont les branches.	Les membres d'une famille sont différents mais reliés par une même origine.
Ndeko akoki kosilika, kasi akomi monguna te.	Un frère peut se fâcher, mais il ne devient pas forcément un ennemi.	Les conflits familiaux ne doivent pas effacer les liens profonds.
Ndako ezanga bolingo ezalaka mpio.	Une maison sans amour est froide.	L'affection est essentielle à l'harmonie familiale.
Mwana oyo bateyaka malamu akolaka na nzela malamu.	L'enfant bien éduqué grandit sur un bon chemin.	Une bonne éducation prépare de bonnes habitudes.
Libota oyo ekabola biloko ekabola mpe mpasi.	Une famille qui partage les biens partage aussi les difficultés.	La solidarité familiale vaut autant dans les bons que dans les mauvais moments.
Bolingo ya solo emonanaka na misala.	Le véritable amour se voit dans les actes.	Les actions comptent davantage que les déclarations.
Soki ndeko akwei, sembola loboko.	Si ton frère tombe, tends-lui la main.	Il faut aider les proches lorsqu'ils traversent une difficulté.
Moto azanga bato azanga makasi.	Celui qui n'a personne manque de force.	Le soutien humain renforce chacun.
Ndako etongamaka na mabanga, libota etongamaka na bolingo.	Une maison se construit avec des pierres, une famille avec de l'amour.	La solidité d'une famille repose sur les relations, pas seulement sur les biens.
Kanda ekoki kobebisa oyo motema etongaki.	La colère peut détruire ce que le cœur avait construit.	Une réaction impulsive peut ruiner une relation construite avec patience.
Maloba ya mabe ezokisaka koleka fimbo.	Les mauvaises paroles blessent plus qu'un bâton.	Les blessures émotionnelles causées par les mots peuvent être profondes.
Bolimbisi ezali makasi, bolembu te.	Le pardon est une force, pas une faiblesse.	Pardonner peut demander davantage de courage que se venger.
Moto oyo ayebi kolimbisa azali na motema makasi.	Celui qui sait pardonner a un cœur fort.	Le pardon demande maturité et maîtrise de soi.
Soki bolingi kimia, bóbanda na kosolola.	Si vous voulez la paix, commencez par dialoguer.	Le dialogue est souvent la première étape vers la réconciliation.
Moto akoki kobosana maloba, kasi te ndenge oyokisaki ye.	Une personne peut oublier les paroles, mais pas la manière dont tu l'as fait se sentir.	Les émotions laissées par nos comportements peuvent durer.
Esengo ekabolami ekómaka mingi.	La joie partagée devient plus grande.	Partager son bonheur renforce les liens.
Mpasi ekabolami ekómaka pete.	La peine partagée devient plus légère.	Parler et recevoir du soutien aide à supporter les difficultés.
Motema ya moto ezali buku oyo etangamaka na misala.	Le cœur d'une personne est un livre qui se lit dans ses actes.	Le caractère se révèle surtout par le comportement.
Kimia ya motema eleki bozwi mingi.	La paix du cœur vaut plus qu'une grande richesse.	La tranquillité intérieure peut être plus précieuse que l'argent.
Mbongo esilaka, kombo malamu etikalaka.	L'argent finit, mais une bonne réputation demeure.	La réputation et l'intégrité ont une valeur durable.
Moto oyo abombaka moke azangaka mingi te.	Celui qui épargne un peu manque rarement de tout.	La prévoyance financière protège contre les imprévus.
Kozwa ezali pete, kobatela ezali mpasi.	Acquérir est facile, conserver est difficile.	Gérer ce que l'on possède peut être plus difficile que l'obtenir.
Mbongo ezanga mayele ebunga noki.	L'argent sans sagesse disparaît vite.	Une mauvaise gestion financière peut dissiper rapidement les ressources.
Mosala ya lelo ezali mbuma ya lobi.	Le travail d'aujourd'hui est le fruit de demain.	Les efforts présents préparent les résultats futurs.
Moto oyo alingi mbuma asengeli kolona.	Celui qui veut des fruits doit planter.	Il faut fournir un effort avant d'espérer un résultat.
Kobomba ezali lokola kolona.	Épargner, c'est comme planter.	Mettre de côté aujourd'hui peut produire un bénéfice demain.
Moto oyo asalelaka nyonso lelo akoki kozanga lobi.	Celui qui dépense tout aujourd'hui peut manquer demain.	Il faut éviter de consommer toutes ses ressources sans prévoir l'avenir.
Bozwi ezanga bwanya ekoki kokóma mpasi.	La richesse sans sagesse peut devenir un problème.	Les ressources matérielles doivent être accompagnées de discernement.
Mokili ya mbongo esengaka miso mibale.	Le monde de l'argent exige deux yeux ouverts.	Les affaires financières demandent vigilance et prudence.
Mayele ezalaka na koyoka, te kaka na koloba.	La sagesse se trouve dans l'écoute, pas seulement dans la parole.	Écouter est une partie essentielle de l'intelligence.
Moto oyo alobaka mingi ayokaka moke.	Celui qui parle trop écoute peu.	Parler excessivement peut empêcher d'apprendre des autres.
Soki oyoki nyonso, pesa eyano na nyonso te.	Même si tu entends tout, ne réponds pas à tout.	Il n'est pas nécessaire de réagir à chaque parole ou provocation.
Koyeba kotuna ezali ndambo ya koyeba.	Savoir poser une question, c'est déjà une partie du savoir.	Une bonne question ouvre la voie à la compréhension.
Bwanya ezali koyeba ntango ya koloba mpe ntango ya kofanda kimia.	La sagesse consiste à savoir quand parler et quand se taire.	Le bon moment compte autant que les paroles elles-mêmes.
Moto oyo andimi ete ayebi te azali pene ya koyeba.	Celui qui admet qu'il ne sait pas est proche d'apprendre.	Reconnaître son ignorance est une étape vers la connaissance.
Makanisi mibale eleki likanisi moko.	Deux réflexions valent mieux qu'une seule.	La confrontation de plusieurs points de vue améliore souvent les décisions.
Mayele ezangaka ndelo te.	La sagesse n'a pas de limite.	Il y a toujours davantage à apprendre.
Moto oyo atangaka kaka buku te, atangaka mpe bomoi.	Une personne ne lit pas seulement les livres, elle lit aussi la vie.	L'expérience pratique complète les connaissances théoriques.
Motuna malamu ekoki kofungola porte ya mayele.	Une bonne question peut ouvrir la porte de la sagesse.	Les questions pertinentes font progresser la réflexion.
Nzela ya mokuse ezalaka ntango nyonso ya malamu te.	Le chemin le plus court n'est pas toujours le meilleur.	La solution la plus rapide n'est pas forcément la plus sûre ou la plus sage.
Moto oyo azali na lombangu akoki kotika eloko ya ntina.	Celui qui se presse peut oublier quelque chose d'important.	La précipitation favorise les erreurs.
Keba liboso ya kozwa mokano oyo ekoki kozonga te.	Sois prudent avant de prendre une décision irréversible.	Les décisions définitives nécessitent davantage de réflexion.
Libaku moko eteyaka koleka maloba mingi.	Une chute enseigne plus que beaucoup de paroles.	L'expérience directe peut être un puissant professeur.
Moto oyo akweyaki ayebi esika mabele ezali mosɛlu.	Celui qui est déjà tombé sait où le sol est glissant.	Les erreurs passées peuvent rendre plus prudent.
Soki oyebi moto te, tala misala na ye.	Si tu ne connais pas quelqu'un, observe ses actes.	Les actes révèlent mieux le caractère que les apparences.
Miso ekoki kokosa, kasi ntango emonisaka solo.	Les yeux peuvent se tromper, mais le temps révèle la vérité.	Les apparences sont parfois trompeuses ; le temps clarifie les choses.
Likambo ya mpasi esengaka motema ya kimia.	Une affaire difficile exige un cœur calme.	Les problèmes complexes se résolvent mieux avec maîtrise de soi.
Soki ozali na ntembe, kende mokemoke.	Si tu as un doute, avance lentement.	L'incertitude appelle davantage de prudence.
Moto ya bokebi akimaka likama liboso ekóma.	La personne prudente évite le danger avant qu'il n'arrive.	La prévention vaut mieux que la réaction tardive.
Ntango ebungaka ezongaka te.	Le temps perdu ne revient pas.	Le temps est une ressource qu'on ne peut récupérer.
Mokolo nyonso ezali libaku ya sika.	Chaque jour est une nouvelle occasion.	Chaque journée permet de recommencer ou de progresser.
Lobi ezali mbuma ya lelo.	Demain est le fruit d'aujourd'hui.	L'avenir dépend en partie des décisions présentes.
Moto oyo ayebi ntina ya ntango abebisaka yango te.	Celui qui connaît la valeur du temps ne le gaspille pas.	Bien gérer son temps est une forme de sagesse.
Ntango emonisaka moninga ya solo.	Le temps révèle le véritable ami.	Les relations sincères se confirment avec la durée.
Ntango emonisaka solo mpe lokuta.	Le temps révèle la vérité et le mensonge.	Avec le temps, la réalité finit souvent par apparaître.
Mokolo ya mpasi mpe eleka.	Même le jour difficile finit par passer.	Aucune épreuve ne dure éternellement.
Kozela te ete lobi esala oyo okoki kosala lelo.	N'attends pas que demain fasse ce que tu peux faire aujourd'hui.	Il faut éviter la procrastination.
Moto oyo alingaka ntango na ye abongisaka bomoi na ye.	Celui qui respecte son temps organise sa vie.	La discipline dans le temps favorise une vie mieux structurée.
Ntango ezali mosambisi oyo alobaka na suka.	Le temps est un juge qui parle à la fin.	Avec le recul, le temps permet de mieux évaluer les choix et les personnes.
Mokili ekoki kobongwana na minute moko.	Le monde peut changer en une minute.	La vie peut basculer rapidement ; il faut rester adaptable.
Moto oyo ayebi komesana na mbongwana abikaka malamu.	Celui qui sait s'adapter au changement vit mieux.	L'adaptation aide à traverser les transformations.
Kobanda lisusu ezali kokweya te.	Recommencer n'est pas échouer.	Un nouveau départ peut être une forme de courage.
Moto akoki kobungisa nzela kasi kozonga na nzela.	Une personne peut perdre son chemin puis le retrouver.	Une erreur n'empêche pas de se corriger.
Libunga moko esukisaka bomoi te.	Une seule erreur ne met pas fin à la vie.	Une faute ne définit pas toute une personne.
Soki plan ya liboso eboyi, bongola nzela, mokano te.	Si le premier plan échoue, change de chemin, pas forcément d'objectif.	La flexibilité dans les moyens aide à atteindre un but.
Kokweya ezali suka te soki otelemaka lisusu.	Tomber n'est pas la fin si tu te relèves.	La résilience consiste à continuer après un échec.
Makasi ya moto emonanaka ntango makambo ezali mpasi.	La force d'une personne se voit lorsque les choses deviennent difficiles.	Les épreuves révèlent souvent le caractère.
Moto ya molende alembaka, kasi atikaka te.	La personne persévérante se fatigue, mais n'abandonne pas.	La persévérance ne signifie pas absence de fatigue, mais continuité malgré elle.
Elonga ebandaka na kondima ete ekoki kosalema.	La réussite commence par croire qu'elle est possible.	La confiance et l'espoir encouragent l'action.
Moto oyo azali na nzala ayebi motuya ya bilei.	Celui qui a faim connaît la valeur de la nourriture.	On apprécie davantage une chose lorsqu'on en a réellement besoin.
Moto oyo ameli mayi ayebaka motuya ya liziba.	Celui qui boit de l'eau connaît la valeur de la source.	Il faut reconnaître la valeur de ce qui nous soutient.
Liziba oyo epesaka mayi esengeli kobatelama.	La source qui donne de l'eau doit être protégée.	Il faut prendre soin de ce qui nous nourrit ou nous aide.
Soki ozali kolona, zela ntango ya kobuka.	Si tu plantes, attends le temps de la récolte.	Les résultats demandent souvent du temps et de la patience.
Mbuma ebela na ntango na yango.	Le fruit mûrit en son temps.	Chaque chose arrive au moment approprié.
Nzete ya makasi etelemaka na mopepe.	L'arbre solide résiste au vent.	La force intérieure se révèle dans l'adversité.
Mopepe makasi eteyaka nzete ndenge ya kotelema.	Le vent fort apprend à l'arbre à tenir debout.	Les difficultés peuvent renforcer une personne.
Moto oyo ayebi mpasi ayebaka motuya ya kimia.	Celui qui connaît la souffrance connaît la valeur de la paix.	Les épreuves apprennent à apprécier les périodes calmes.
Soki motema ezali makasi, nzela molai ebangisaka te.	Si le cœur est fort, un long chemin ne fait pas peur.	Le courage aide à affronter les grands défis.
Etumba nyonso elongamaka na makasi te.	Toutes les batailles ne se gagnent pas par la force.	L'intelligence, la patience et la stratégie peuvent être plus efficaces que la force.
Moto ya bwanya ayebaka ntango ya kozonga sima.	La personne sage sait quand reculer.	Savoir renoncer ou changer de stratégie peut être une preuve de sagesse.
Kozonga sima mpo na kobongisa nzela ezali kokima te.	Revenir en arrière pour corriger son chemin n'est pas fuir.	Corriger une erreur n'est pas un signe de faiblesse.
Moto oyo akangami na lolendo ayokaka toli te.	Celui qui est prisonnier de l'orgueil n'écoute pas les conseils.	L'orgueil peut empêcher d'apprendre et de progresser.
Lolendo eleki ndelo ekweyisaka moto.	L'orgueil excessif fait tomber l'homme.	L'arrogance peut conduire à l'échec.
Komikitisa ezali bolembu te.	L'humilité n'est pas une faiblesse.	Être humble peut être une marque de maturité et de force.
Moto ya komikitisa ayekolaka epai ya bato nyonso.	La personne humble apprend de tout le monde.	L'humilité ouvre la voie à l'apprentissage.
Miso mibale emonaka malamu koleka liso moko.	Deux yeux voient mieux qu'un seul.	Plusieurs points de vue peuvent améliorer la compréhension.
Matoi mibale, monoko moko.	Deux oreilles, une bouche.	Il faut écouter davantage que parler.
Moto oyo ayokaka toli abungaka nzela mingi te.	Celui qui écoute les conseils se perd moins souvent.	Les conseils utiles peuvent éviter des erreurs.
Toli ezali eloko ya ofele, kasi motuya na yango ekoki kozala monene.	Le conseil est gratuit, mais sa valeur peut être grande.	Un bon conseil peut avoir des conséquences très importantes.
Moto oyo asali libunga asengeli koyekola na yango.	Celui qui fait une erreur doit en tirer une leçon.	Une erreur devient utile lorsqu'elle permet de progresser.
Libunga ezongelami mbala mingi ekómaka momeseno.	Une erreur répétée souvent devient une habitude.	Il faut corriger rapidement les mauvais comportements.
Kosenga bolimbisi ekitisaka moto te.	Demander pardon ne diminue pas une personne.	Reconnaître ses torts est une marque de maturité.
Solo ekoki kozala mpasi, kasi ebikisaka motema.	La vérité peut être difficile, mais elle libère le cœur.	La sincérité peut être douloureuse sur le moment mais bénéfique à long terme.
Lokuta esengaka lokuta mosusu mpo etelema.	Un mensonge a besoin d'un autre mensonge pour tenir debout.	Mentir entraîne souvent une chaîne de nouveaux mensonges.
Solo ezalaka na posa ya bilamba te.	La vérité n'a pas besoin de vêtements.	La vérité n'a pas besoin d'être embellie pour rester vraie.
Moto akoki kokosa bato, kasi akoki kokosa ntango te.	On peut tromper les gens, mais pas le temps.	Avec le temps, les tromperies finissent souvent par être découvertes.
Miso ya bato ekoki kozanga komona, kasi misala etikalaka.	Les yeux des gens peuvent ne pas voir, mais les actes restent.	Nos actions laissent des traces même lorsqu'elles passent inaperçues.
Kombo malamu etongamaka mokolo na mokolo.	Une bonne réputation se construit jour après jour.	La confiance et la réputation demandent du temps.
Kombo malamu ebebaka na minute moko.	Une bonne réputation peut se détruire en une minute.	Une seule mauvaise action peut endommager une réputation construite longtemps.
Moninga ya malamu akebisaka yo liboso ya likama.	Un bon ami t'avertit avant le danger.	L'amitié sincère implique aussi de dire des choses difficiles pour protéger l'autre.
Moninga oyo asepelaka kaka na esengo azali naino moninga te.	L'ami qui n'est présent que dans la joie n'est pas encore un véritable ami.	La vraie amitié se mesure aussi dans les difficultés.
Boninga etongamaka na confiance.	L'amitié se construit sur la confiance.	La confiance est la base des relations durables.
Confiance soki ebukani, ezongaka na mpasi.	Quand la confiance est brisée, elle revient difficilement.	Il faut protéger la confiance car elle est longue à reconstruire.
Moto oyo abatelaka sekele abatelaka boninga.	Celui qui garde un secret protège l'amitié.	La discrétion renforce la confiance entre les personnes.
Soki moninga na yo azali na mpasi, kozela abenga yo te.	Si ton ami souffre, n'attends pas qu'il t'appelle.	L'amitié sincère pousse à prendre l'initiative d'aider.
Bolingo ya solo esengaka motema molai.	Le véritable amour exige de la patience.	Les relations solides demandent patience et compréhension.
Bolingo ezanga confiance etambolaka mosika te.	L'amour sans confiance ne va pas loin.	Une relation durable a besoin de confiance.
Kosolola ezali pont kati na mitema mibale.	Le dialogue est un pont entre deux cœurs.	La communication rapproche les personnes.
Soki bolingo ezali, limemya esengeli kozala mpe.	S'il y a de l'amour, il doit aussi y avoir du respect.	Une relation saine nécessite affection et respect.
Moto oyo asalaka na bosembo abanga kotala bato na miso te.	Celui qui agit honnêtement n'a pas peur de regarder les autres dans les yeux.	L'intégrité donne une conscience tranquille.
Bosembo ezali bozwi oyo bayibaka te.	L'honnêteté est une richesse qu'on ne peut pas voler.	L'intégrité est une valeur durable et personnelle.
Moto ya bosembo azangaka somo ya solo.	La personne honnête ne craint pas la vérité.	La sincérité permet de vivre sans peur d'être découvert.
Misala ya moto nde elobaka mpo na ye.	Les actes d'une personne parlent pour elle.	Le comportement est souvent plus révélateur que les paroles.
Bilaka mingi ezanga misala ezali mopepe.	Beaucoup de promesses sans actes ne sont que du vent.	Les promesses n'ont de valeur que si elles sont suivies d'actions.
Moto oyo akokisaka liloba na ye azwaka limemya.	Celui qui tient sa parole gagne le respect.	La fiabilité construit la confiance.
Liloba ezali nyongo.	La parole donnée est une dette.	Une promesse crée une responsabilité morale.
Soki olaki, sala makasi okokisa.	Si tu promets, fais tout ton possible pour tenir parole.	Il faut prendre les engagements au sérieux.
Moto ayebanaka na ndenge asalelaka bato ya mike.	On reconnaît une personne à la manière dont elle traite les plus faibles.	Le caractère se révèle dans le comportement envers ceux qui ont moins de pouvoir.
Limemya epesamaka mpo ezonga.	Le respect se donne pour être reçu.	Respecter les autres favorise le respect réciproque.
Mosala malamu esengaka ntango.	Un bon travail demande du temps.	La qualité exige souvent patience et soin.
Noki mingi ebota mabunga.	Trop de précipitation produit des erreurs.	La vitesse excessive nuit à la qualité.
Moto oyo abongisaka liboso alembaka moke na sima.	Celui qui prépare à l'avance se fatigue moins ensuite.	La préparation réduit les difficultés futures.
Kobongisa liboso ezali ndambo ya mosala.	Bien préparer, c'est déjà faire la moitié du travail.	La planification facilite l'exécution.
Mosala oyo ebandi malamu esilaka malamu mingi.	Un travail bien commencé se termine souvent bien.	Un bon départ augmente les chances de réussite.
Moto ya mosala abanga mpasi te.	La personne travailleuse ne craint pas l'effort.	Le goût de l'effort aide à atteindre ses objectifs.
Maboko oyo esalaka ezwaka mbuma.	Les mains qui travaillent récoltent des fruits.	Le travail produit des résultats.
