en	lin
My father took me to the movies last night.	Tata amemaki ngai na sinema lobi loleki na mpokwa.
You can choose the book you like.	Okoki kopona buku oyo olingi.
You are a good student.	Ozali moyekoli malamu.
How many did you get?	Ozwaki yango boni?
Please stay on the line.	Tikala na nzela ya nsinga, tosengi na yo.
We're leaving now.	Tozali kokende sikawa.
We haven't planned our vacation yet.	Tobongisi naino te bopemi na biso.
Sunshine makes all the difference.	  Moyi esalaka bokeseni na nyoso.
How do we do this?	Tosala yango ndenge nini?
You must turn in the reports on Monday.	Osengeli kozongisa ndimbola mokolo ya mosala moko.
I know you care about Tom.	Nayebi ete ozali komitungisa mpo na Tom.
I would do the same.	Nakosala nse bongo.
He soon grew tired.	Ewumelaki te alembaki.
You have to try this.	Osengeli komeka oyo.
I lowered myself to his level.	Namikitisaki tii na nivo na ye.
He likes games of chance.	Alingaka masano ya konzo.
She lied to me.	Akosaki ngai.
We elected him mayor.	Toponaki ye moyangeli ya engumba.
We're almost done for today.	Tokomi kosilisa mpo na lelo.
I became friends with Tom.	Nakomi moninga ya Tom.
You've never been to Paris?	Naino okenda na  Paris te?
When is the party?	Ntango nini nteke esalamaki ?
I have to have lunch with him.	Nasengeli koliya na ye elongo na ntongo.
I prefer English.	Naponi monoko ya angele.
He's worried about the exam results.	Azali komitungisa mpo na biyano ya ekizame.
She is proud of being beautiful.	Azali na lolendo ya kozala kitoko.
Father often read detective novels in his free time.	Tata azalaki na momesano ya kotanga buku polisi  mpo na kolekisa ntango.
Pour yourself a drink!	Mitiyela masanga !
It arrived this morning for you.	Ekomaki na ntongo oyo mpo na bino.
The towel wasn't useful at all.	Lisume ezalaki mpenza na ntina te.
It's better than the movie.	Eleki film na kitoko.
They'll help you warm up.	Bakosunga bino mpo na kozwa molunge.
That could have serious consequences.	Yango ekoki kozala na mbano ya makasi mingi.
I'd really rather not know.	Nakosepela mpenza te koyeba yango.
Who's in charge here?	Nani mokambi awa?
You have a phone at home.	Ozali na telefone epai na yo.
I guess not.	Nabanzi te.
He sometimes gets angry for no reason.	Asilikaka ntango mosusu mpamba.
This hasn't been done before.	Naino esalema liboso te.
Marie was defending herself.	Marie azalaki komilongisa.
You were hurrying.	Ozalaki kowelisa.
Let's eat out tonight.	Na mpokwa ya lelo, tokende koliya libanda.
Dan was deeply troubled by Linda's death.	Dan atungisamaki mingi na liwa ya Linda.
Did you want to talk to me about freedom?	Olingaki koloba na ngai mpo na bonsomi ?
We are busy men.	Tozali mibali ya misala mingi.
You fell for him, didn't you?	Olangwe ye, boye te?
Do you miss your wife?	Ozali na mposa ya mwasi na yo?
It's a Spanish book.	Ezali buka ya ba esipanyole.
It's wrong to tell a lie.	Kobuka lokuta ezali mabe.
When did you start learning English?	Uta ntango nini obandaki koyekola lokoto ya angele ?
Tom bought a camera like yours.	Tom asombi esaleli ya foto lokola oyo ya yo.
Our city still doesn't have running water.	Engumba na biso ezwi naino mayi ya malamu te.
Don't bite your nails.	Koliyaliya manzaka na yo te.
She arrived running, her eyes shining.	Ayaki na lombangu mpenza, miso mazalaki kongenga.
Tom will be happy to see you again.	Tom akosepela  komona yo lisusu.
I'll give you everything you want.	Nakopesa yo nyonso oyo olingi.
I missed my train.	Nazangaki engbunduka.
I bought these flowers for you.	Nasombeli yo ba fololo oyo.
She's as old as the devil's grandmother.	Asili kokoma mobange lokola koko ya zabulu.
I agree with you.	Nandimi makanisi na yo.
Me neither.	Ngai mpe te.
Have you ever kissed another girl?	Osila koyamba elenge mwasi mosusu ?
The man was too fat to move by himself.	Moto yango azalaki monene mingi mpo na kotambola ye moko.
My sister is a genius!	Ndeko na ngai ya mwasi azali na mayele mingi !
We grew closer every day.	Tozalaka kopusana mokolo na mokolo.
He took a pen in his hand.	Akamataki ekomeli na loboko na ye.
He who says A must also say B.	Moto oyo alobi A asengeli mpe aloba B.
Does this bus go to the station?	Motuka oyo ezali kokende na gare ?
Didn't you know that?	Boyebaki yango te?
God created him.	Nzambe akela ye.
Revenge is a dish best served cold.	Kobukanisa ezali bileyi oyo eliyamaka ntango ekomi malili.
You're bothering me.	Bozali kotungisa ngai.
He left.	Akei.
Fish, please.	Yaka na mbisi, soki osepeli.
They were born a month apart in 1970.	Bakeseni na sanza moko ya mbotama na bango na mobu 1970.
We're not lost.	Tobungi te.
I can't tell him apart from his brother.	Nayebi kokesanisa ye na ndeko na ye ya mobali te.
I'm out of here.	Nakeyi.
Too much has been said about this marriage.	Tosololi mingi na ntina ya libala oyo.
I'll ask him tomorrow.	Nakosenga ye lobi.
Father went fishing.	Tata akei koloba mbisi.
Are you sure of that?	Ozali na elikya na yango ?
I tied my dog to a tree in the garden.	Nakangisa mbwa na ngai na nzete moko na kati ya elanga.
I thought I was dying.	Nakanisaki ete nazalaki kokufa.
There are no limits to the universe.	Ndelo ezalaka na molongo mobimba te.
I'd better go too.	Nakosala malamu ngai mpe nakende.
This office is different from the one I ordered.	Bilo oyo ekesini na oyo ngai nasengaki.
He is abroad.	Azali na mboka ya bapaya.
Education is important.	Koyekola ezali na motuya.
Tom was very reliable.	Tom azali moto okoki kotiyela motema.
What does that mean?	Yango elingi koloba nini?
It seems the question was too easy for you. Next time, I'll have to make one a bit harder.	Ezalaki komonana lokola motuna ezalaki mpete mingi mpo na yo. Mbala ya nsima, nakosengela kosala moko oyo ezali mwa makasi.
She'll be back in less than ten minutes.	Akozonga yambo ba minuti zomi ekoka.
Is there a museum in this city?	Mize moko ezali na engumba oyo?
You're lucky no one saw you do that.	Ozali moto ya libaku malamu ndenge moto moko te amoni yo.
Tom helped his son get dressed.	Tom asungaki mwana na ye mpo alata bilamba.
I thought my head was going to explode.	Nakanisaki ete moto mwa ngai  ekopasuka.
It's a big day.	Ezali mokolo monene.
Don't take yourself so seriously!	Komizwa na eyongi mingi te!
They got married and had many children.	Babalanaki mpe babotaki bana mingi.
I shouldn't have gone to see Tom.	Nasengelaki kokende kotala Tom te.
They went on a trip.	Bakendaki mobembo.
She said she'd call you later.	Alobi ete akobengayo nsima.
I know you're not afraid.	Nayebi ete ozali kobanga te.
She's very afraid of dogs.	Abangaka mbwa makasi.
I'll wait here until he comes back.	Nakozela awa kino akozonga.
I'm sure I've seen him somewhere before.	Nandimi ete nasila komona ye esika moko.
May I borrow your pen?	Nakoki kodefa ekomeli na yo?
I drank the coffee.	Namelaki café.
It's not good to keep making the same old products, year after year.	Ezali malamu te kosalaka kaka biloko moko ya kala mbula na mbula.
I study very diligently.	Nazali kotanga na molende mingi.
Tom has a house with a pool.	Ndako ya Tom ezali na liziba.
We are aware of the risks.	Toyebi malamu ete makama mazali.
It's supposed to rain tomorrow.	Mbula esengelaki konoka lobi.
Close your eyes for a moment and look for the answer.	Kanga miso mwa moke mpe luka eyano.
I'm aware of it.	Nayebi.
He was carrying a big box in his arms.	Amemaki sanduku moko ya monene na maboko na ye.
He left his team because he didn't get along with the coach.	Alongwaki ekipi na ye mpo azalaki koyokana na molakisi te.
Goodbye!	Olele!
Tom wears glasses.	Tom alati maneti.
I know it's not true.	Nayebi ete ezali solo te.
You shouldn't argue with a woman when she's tired.	Koswanaka na mwasi te ntango alembi.
What is your decision?	Mokano na yo ezali nini?
It's something my mother made.	Ezali eloko moko oyo mama na ngai asalaki.
Remember to mail the letter on your way to school.	Okanisaka kotinda monkanda ntango okozala na nzela ya kelasi.
What's the best plan, in your opinion?	Mwango ya malamu koleka ezali nini, na ndenge omoni?
Tom ran as fast as he could.	Tom apotaki mbangu ndenge akokaki.
Do you like to chat?	Bolingaka kosolola?
We're not doing anything.	Tozali kosala eloko te.
I may be old, but I'm not crazy.	Nazali ntango mosusu mokolo, kasi liboma te.
He asked me if I knew his father.	Azali kotuna ngai soki nayebaki tata na ye.
When does it start?	Ekobanda ntango nini ?
I started learning Chinese last week.	Nabandaki koyekola lokota ya chinois uta mposo eleki.
Are you sure you're okay?	Ozali mpenza malamu?
Lunch is served.	Biloko ebelemi mpo na koliya.
I see Tom.	Namoni Tom.
I'll fix that.	Nakobongisa yango.
She asked if I needed a taxi.	Atunaki ngai soki nazali na bosenga ya taxi.
He can do it much better than me.	Akoki kosala yango malamu koleka ngai.
Just follow my example.	Bolanda kaka ndakisa na ngai.
I gave Tom many opportunities to do it.	Napesaki Tom libaku mingi mpo nakosala yango.
A small gain is better than a big loss.	Mwa mbano moke eleki kobungisa mingi na motuya.
The British forces were ordered to seize the weapons.	Bapesaki mitindo na mapinga ya ba britanniques ete babotola mandoki.
I want to see what happens.	Nalingi namona oyo ezali  kosalema.
I did my job.	Nasalaki mosala na ngai.
She's looking for the wallet she lost.	Azoluka mwa libenga na ye abungisaki.
All my children go to school in Boston.	Bana na ngai nyonso bakendaka kelasi na Boston.
My parents adore you.	 Baboti na ngai balingi yo mingi.
This box is heavy.	Sanduku oyo ezali kilo.
He composed the story.	Akomaki lisolo.
City life didn't appeal to Tom.	Bomoyi na engumba esepelisaki Tom te.
Linda is going to make coffee.	Linda akolamba kafe.
It's not about money.	Ezali mpo na mbongo te.
Sharks eat fish.	Mbisi ya minene baliyaka mbisi.
I want to make sure there's enough.	Nalingi nazala na etingiya ete ezali ebele.
We played on the beach.	Tosakanaka na libongo.
I have an important task for all of you.	Nazali na mosala moko ya motuya mpo na bino nyonso.
This rule doesn't apply to the case.	Mobeko oyo basalelaka yango na mombongo te.
You're behaving like a child.	Ozali na bizaleli lokola mwana.
The restaurant was quiet.	Restaurant ezalaki kimya.
I can't come right now.	Nakoki koya sikawa te.
Is it likely that he'll come?	Ekoki kosalema ete aya?
Everyone aboard!	Moto nyoso akota!
I know almost nothing about that.	Nayebi eloko te mpo na yango.
Tom can help.	Tom akoki kosunga.
I have a bike.	Nazali na nkinga moko.
I'm afraid that might be the truth.	Nazali kobanga ete ezala bosolo.
I'll take your side, just this once.	Nakokamata ngambo na yo kaka mpo na mbala oyo.
I would do anything for you.	Nakosala manso mpo na yo.
I missed you so much!	Nazalaki na mposa na yo makasi!
Tom understood me.	Tom azalaki kososola ngai.
We help each other.	Tozali kosungana.
Ken kissed Tom's fiancée.	Ken ayambaki makango ya Tom.
He's got money.	Azali na mbongo.
When the cat's away, the mice will play.	Ntango nyawu azali te, ba mpuku babinaka.
In many places in the world, there isn't enough food to meet everyone's needs.	Na bisika mingi na mokili, bileyi bizali mingi te mpo na kokokisa bosenga ya moto nyoso.
Fashion is a vicious circle.	Elateli ezali zolongano.
We need a little more time.	Tosengeli na mwa ntango lisusu.
I'm ashamed to admit that the work isn't finished.	Nazali na nsoni ya koloba ete mosala esili te.
I have a lot of things to do today.	Nazali na makambo mingi ya kosala lelo.
I know I could have done it, but I didn't.	Nayebi ete nasengelaki kosala yango kasi nasalaki yango te.
I'll join in.	Nakosangana na yango.
I knew Tom didn't want to do it, but I still wanted him to do it.	Nayebaki ete Tom alingaki kosala yango te, kasi ata bongo nalingaki ete asala yango.
Tom turned the page when he met Marie.	Tom abongolaki makanisi ntango akutanaki na Marie.
Tom was listening to the sound of the ocean.	Tom azalaki koyoka makelele ya mbu.
Did you see him at the station this morning?	Omonaki ye na gare na ntongo ya lelo?
I had a headache so I couldn't do that.	Nakoyoki moto mpasi nde nakokaki kosala yango te.
You can't use his.	Okoki kosalela oyo ya ye te.
We won the match.	Tolongaki lisano ya motopi.
He hid behind the tree.	Abombanaki na nsima ya nzete.
The woman got up from the chair. And she glanced at the door.	Mwasi atelemaki na kiti. Mpe atalaki na ngambo ya ekuke.
I'll make peanut butter.	Nakosala mwamba ya nguba.
Tom said he wasn't hungry.	Tom alobaki ete azalaki na nzala te.
We will fix this.	Tokobongisa oyo.
You can't be in two places at the same time.	Okoki kozwama bisilka mibale mbala moko te.
She was about to call him when he came through the door.	Abelemaki kobengisa ye ntango akotaki na ekuke.
What is your natural hair color?	Nsuki na yo ya kobotama ezalaka langi nini?
I wonder if Tom knows what Mary did.	Nazali komituna soki Tom ayebi oyo Mari asali.
I'm not interested at all.	Etali ngai ata moke te.
He keeps a diary in English.	Asimbi zunale moko ya angele
About a dozen trees were soon planted.	Nzete mpene mpene na zomi na mibale ekolonama kala te.
Everyone was doing it.	Bato nyonso basalaki yango.
I'm not disappointed.	Nayokisami mawa te.
Stop kidding yourself! You couldn't afford a house like that.	Kolobela na ntina na yango te! Okozala na makoki ya kosomba ndako lokola oyo te.
I don't think children should drink beer.	Nabanzi ete bana basengelaki komela masanga te.
What do you intend to do?	Ozali kokana kosala nini?
Was it worth it?	Ezalaki mpenza na ntina?
I'm at a friend's place.	Nazali epai ya moninga moko ya mwasi.
One day, you'll regret it.	Mokolo moko, okolela na ntina na yango.
You're very shy.	Olobaka mingi te.
We're not proud of it.	Tozali na lolendo na ntina na yango te.
Won't you lose your mind?	Okobungisa elonga te?
I can't do that.	Nakoki kosala yango te.
I need that.	Nazali na mposa na yango.
It might snow tonight.	Ntango mosusu matanga ekonoka na mpokwa ya lelo.
How much time do you have for lunch?	Osalaka ngonga boni mpo na koliya na ntongo ?
That's all we can do for now.	Wana nde nyonso tokoki kosala sikawa.
Have you ever found an answer to that question?	Naino ozwa eyano na motuna wana te ?
My friends invited me to dinner.	Baninga na ngai babengisaki ngai mpo na koliya na midi.
Stay calm!	Vanda kimya!
Let's catch our breath a bit!	Tobatela mwa kimya!
I think Tom believes everything Marie tells him.	Nabanzi ete Tom azali ndima nyonso oyo Marie azali kolobela ye.
I left you a note.	Natikelaki yo mwa monkanda.
Is your gun loaded?	Bonduki na yo ezali na masasi ?
She stood close to him.	Atelemaki mpembeni na ye.
I thought you'd be interested in that.	Nakanisaki ete okosepela na yango.
We kissed.	Toyambanaka.
Tell me, tell me!	Lobela ngai, lobela ngai !
Where in Canada are you from?	Bowuti wapi, na Canada ?
With you, it's summer all year round.	Na yo elongo, ezali eleko ya moyi mbula mobimba.
I want to change the world.	Nalingi nabongola mokili.
He's trying to get rid of the ants.	Azali komeka komilongola ba fumba.
The poison spread throughout the whole body.	Mbondo epanzani na nzoto mobimba.
I may have hurt his feelings.	Ntango mosusu nazokisi makanisi na ye.
I don't understand why you don't want to do that.	Nayebi te mpo na nini olingi kosala yango te.
I'm afraid I have no experience.	Nazali kobanga lokola nazali na zebi te.
Just do what I say!	Sala kaka maye nalobi !
Tom must be punished for what he did.	Tom asengeli kozua etumbu mpo na maye asali.
I don't believe Tom did his homework by himself.	Nandimi te ete Tom asalaki ba devoirs na ye ye moko.
Tom showed Marie the picture.	Tom alakisaki Marie bilili.
Tom would do anything to get Marie's attention.	Tom akoki kosala nyonso mpo na kobenda bokebi ya Marie.
No one cares about me.	Moto moko te azali kotala ngai.
Animals are not toys!	Nyama bazali biloko ya kosakana na yango te !
My father recently quit smoking.	Tata na ngai atiki kobenda likaya kala te.
I just want people to love me.	Nalingi bobele ete bato balinga ngai.
The girl was trying hard to hold back her tears.	Mwana mwasi akangaki motema mpo na kosopa pizoli.
Let me check the manual.	Tika ngai natala mokanda.
This forest fire has a natural cause.	Moto oyo etumbi zamba ezali ya mokili.
Tom will do it on time.	Tom akosala yango na ngonga.
Tom asked Maria for advice.	Tom atunaki toli epai ya Maria.
I know Tom is half asleep.	Nayebi ete Tom alali ndambo.
I don't think this is the best time to talk to Tom.	Nabanzi ete oyo nde ngonga malamu mpo na kosolola na Tom.
If she had been alive, my mother would have helped me at that time.	Soki azalaki na bomoyi, mama na ngai alingaki asunga ngai na ntango wana.
The police are investigating the causes of the accident.	Pulusu esali na bolukiluki mpo na koyeba ntina ya likama.
This boy has a strong and healthy body.	Mwana mobali oyo azali na nzoto makasi mpe kolongono.
The studio is very small, with no place to hide.	Ndako oyo ezali moke makasi, epai ya kobatama ezali te.
I thought you might want to know.	Nakanisaki ete olingaki ntango mosusu koyeba.
Let me see you!	Tika ete namona yo !
Tom took out a pencil.	Tom abimisaki ekomeli.
Elderly people need to live for someone.	Mikolo bazali na bonsenga ya kobika mpo na moto mususu.
What is the meaning of this?	Ntina na yango ezali nini?
The weather is really bad.	Ntango ezali mabe makasi.
I'm very interested to hear what you have to say.	Nazali na mposa makasi ya koyoka maye olingi koloba.
Do you really believe it's necessary to do that?	Okanisi ete ezali na motuya ya kosala yango?
They feed mainly on milk.	Bileyi na bango mpenza ezali miliki.
I'm just a boy who makes mistakes.	Nazali kaka mwana mobali oyo asalaka mabunga mingi.
He changed his mind.	Abongolaki makanisi.
Can you point me in the right direction?	Okoki kolakisa ngai nzela ya malamu ?
Tom fell into the water.	Tom akwei na mayi.
You know Tom likes beer.	Oyebi ete Tom alingi masanga.
We are serious.	Tozali na kimya.
I'm drinking.	Nameli.
I don't want to be your secret.	Nalingi kozala sekele na bino te.
We have good news.	Tozali na sango malamu.
He'll come soon.	Akoya sikawa.
More research is needed.	Bolukiluki mingi ezali na motuya.
I heard that.	Nayokaki yango.
There was nothing I could do about it.	Nakokaki kosala eloko te.
Why don't we sneak back inside?	Mpo na nini tozali komikotisa lisusu na kati te?
Tom is going to a lot of trouble.	Tom azali komimonisa mpasi mingi.
She speaks English.	Alobaka Ngelesa.
Seen from a plane, the small hills look flat.	Na kati ya mpepo soki otali libanda, ngomba ya mike, imonanaka nsemba.
We are trying to cut expenses.	Tozali komeka kokitisa bobimisi mbongo.
You said it was urgent.	Olobaki ete likambo ya lombango ezalaki.
Is that really possible?	Ekoki kosalama solo?
Tom was surprised by what he saw.	Tom akamwaki na oyo amonaki.
Would you pass me the salt, please?	Okoki kopesa ngai mungwa, soki olingi ?
As he grew up, he learned to put things in perspective.	Ndenge azali kokola, ayekoli kobongisa makambo.
You clearly don't have time.	Na bosolo ozali na ntango te.
The opera begins at seven o'clock.	Opera ekobanda na ngonga ya sambo liboso ya nzanga.
We can't keep deceiving ourselves.	Tokoki kokoba kosakanaka bongo na basusu te.
It's a risk you simply have to take.	Ezali likama oyo osengeli kaka koleka na yango.
It's strange to say, but he didn't know the news.	Ezali kokamwisa koloba yango kasi, ayebaki sango te.
Tom was promoted to manager.	Tom amatisami bokonzi akomi moyangeli.
Reading books is one of my habits.	Kotanga buku ezali moko ya mimesano na ngai.
Tom cut the apple in half.	Tom akaboli mbuma biteni mibale.
The fact is they're too young.	Likambo ezali ete bazali bilenge penza.
He had to go.	Asengelaki kokenda.
Who's knocking at the door?	Nani azali kobeta ekuke?
Tom doesn't have enough money to buy a car.	Tom azali na mbongo mingi te mpo nakosomba motuka.
I wonder if I can do that.	Nazo mituna soki nakoki kosala yango.
Tom asked me how to get to the post office.	Tom atunaki ngayi ndenge nini akende na poste.
We hoped something interesting would happen.	Tozalaki kolikya ete eloko moko ya malamu ekoya.
It's not easy to master English.	koloba anglais malamu ejali pete te.
Would you carry this up to the first floor for me?	Okoki komemela ngayi oyo na etage ya liboso?
The books were so valuable that they were taken great care of.	Motuya ya buku ezalaki na lolenge ete bazalaki kobatela yango makasi.
Only five hundred and fourteen people have ever been to space.	Bazali bobele bato kama mitano na zomi na mineyi baye bakenda na mipepe.
How long does it take to get from here to the station?	Ensengeli tango boni pona ko longwa awa kino na gare?
He had said he would write to me, but nothing came of it.	Alobaki ete ako komela ngayi, kasi asalaki eloko te.
Tom and Marie weren't particularly nice to me.	Tom na Marie bazalaki penza na boboto epayi na ngayi te.
Although he's young, he's very careful.	Atako azali elenge, azali na angele mingi.
Would you like the tires checked?	Olingi kotala liyika?
You don't like Tom's dog.	Olingaka mbwa ya Tom te.
I'm not at all afraid of dogs.	Ngayi na banga ba mbwa ata muke te.
I had to meet someone on business.	Esengelaki na kutana na moto moko mpona mombongo.
How old is this book?	Buku oyo esali mbula boni?
Most people like watching TV.	Bato mingi balingaka kotala television.
We are poor, but happy.	Tozali babola, kasi na esengo.
I speak English, and you, what language do you speak?	Nasololaka Anglais, bongo yo, osololaka kota nini?
What kind of game is this?	Oyo lisano ya ndenge nini?
My father works in a factory.	Tata nangayi asalaka na Usine moko.
He likes reading books.	Alingaka kotanga ba buku.
Life isn't static.	Bomoyi esuki te.
He put the book down on the table.	Akitisaki buku likolo ya mesa.
Even though he was just a child, he was very brave.	Atako azalaki kaka mwana moke, azalaki na piko makasi.
Look at those dark clouds.	Tala mapata muhindo oyo.
Why are men never happy? Because they always want the impossible.	Pona nini batu bazalaka na esengo te? Po ete balingaka tango nyonso makambo maye makoki kosalama te.
We're here, at the tourist office. You see?	Tozali awa, na esika ya bayangeli ya tourisme. Bomoni?
He came back from Canada.	Awuti Canada.
They are in the teachers' lounge.	bazali na ndako ya balakisi.
We're going there alone.	Tozokende biso moko.
My forehead was burning with fever.	Moto nangayi ekomaki moto na fièvre.
Dan was last seen wearing blue jeans and a black leather jacket.	Dan amonanaki mbala ya liboso na bilamba ya bule mpe kazaka ya mposo ya nyama ya langi ya mohindo.
She lived right next door to us.	Azalaki ko vanda na ndako oyo ezali pembeni na biso.
His mother knocked on the door.	Mama naye abetaki na ekuke.
I can't abandon him.	Nakoki kotika ye te.
We have no reason to be ashamed.	Tozali na tina moko te ya koyoka soni.
At seven o'clock I'll be there again.	Na konga ya sambo na tongo nakozala lisusu wana.
She's no longer alone now.	Ajali lisusu yemoko te sikaawa.
We kept our word.	Tokokisaka maloba nabiso.
What's going on here?	Nini azali koleka awa?
Did you do it yourself?	Osalaki yango yomoko?
That's life.	Ezali bomoyi.
Oh! That's so cute!	Oh! Ezali kitoko mingi!
I don't feel like going home!	Nazali na posa ya kozonga ndaku te!
I didn't know Tom was sleeping.	Nayebaki te ete Tom azalaki kolala.
What are you afraid of?	Ozo banga nini?
In that place, I felt like a fish out of water.	Nakati ya nganda wana, nazalaki komiyoka lokola mbisi libanda ya ebale.
I think Tom is hurt.	Namoni lokola Tom azokisami.
Life is hard for everyone.	Bomoyi ezali makasi pona moto nyonso.
I'm afraid of bears.	Na bangaka ba ngombolo.
She won first prize in the race.	Alongi motuya ya liboso ya lisano.
I'm swamped with work.	Nazali na misala maleki ngayi moto.
Don't you have a meeting?	Ozali na liyangani te?
Turn up the music!	Matisa mongongo ya musiki!
You'll miss the train if you don't hurry.	Okozanga engbunduka soki osali mbangu te.
No, I don't like it that much.	Te, ezali kosepelisa ngayi te koleka owana.
Maybe he missed the train.	Tango mosusu azangaki engbunduka.
May I know where you work?	Nakoki koyeba esika bosalaka?
Human progress knows no limits.	Bokeyi liboso ya moto ezali na ndelo te.
I beg your pardon. I don't think this is your seat.	Nasengi yo bolimbisi. Na ndimi te ete oyo wana ezala kiti nayo.
Tom should have eaten more.	Tom asengelaki koliya mwa mingi.
It's Tom's fault.	Tom nde azali na libunga.
We ate fresh fruit after lunch.	Toliyaka mbuma ya sika sima na biso koliya biloko na tongo.
He's nothing but a child.	ajali naye mobele mwana.
Put some water in your wine.	Tiya mayi na vino mwayo.
Was that just for a laugh?	Ezalaki kaka pona toseka?
I want to start a family.	Nalingi kobandisa libota.
What's your favorite fast food restaurant?	Osepelaka na restaurant nini?
Would you like some coffee?	Café, oko linga?
I just found out that my favorite hotel went bankrupt.	Nawuti koyoka ete hotel nalingaka mingi ekweyi.
One day you'll understand.	Mokolo moko oko sosola.
I remember meeting her somewhere.	Nazali kokanisa, namona ye esika moko.
Stay out of my sight!	Zala libanda ya bomoyi na ngayi!
How many kinds are there?	Ezalina motindo boni?
I danced.	Na binaki.
If he got ten out of ten on the exam, it's because he cheated.	Soki alongaki zomi likolo ya zomi na examen, ezali po ayibaki.
Tom kept his hat on.	Tom abatelaki ekoti naye na moto.
I've never told that to anyone before.	Nayino na lobela yango epayi moto te.
The worst friend and enemy is none other than death.	Moninga mpe monguna ezali eloko mosusu te kasi liwa.
Woman at the wheel, death at the bend.	Mwasi azali ko kumba motuka, liwa wzali pembeni.
"I dreamed about you yesterday." "Really? And what was I doing?"	« Na lotaki yo, lobi. » « Yasolo ? Bongo nazalaki kosala nini? »
Shut the hatch.	Kanga motambo.
You would like that.	Okolinga yango.
I can't believe we finally finished the project.	Nazo ndima te ete tokomi nako silisa mwango.
The campaign was a success and he won the election.	Campagne ezalaki elonga mpe alongi na maponami.
I need to take care of something.	Na sengeli kotala eloko moko.
I think his proposal deserves consideration.	Na banzi ete oyo ye alobi elongobani ete tokanisa na tina nayango.
I'm going to fix this.	Nako bongisa oyo.
We live near the big library.	Tovandaka zongazonga na ebombelo monene ya ba buku.
I'll show you a few of them.	Nako lakisa bino moko kati na bango.
We need to update our teaching method.	Tosengeli kozongisa sika lolenge nabiso ya kotangisa.
Prices are high these days.	Talo emati mikolo oyo.
When did you buy this phone?	Osombaki telephone oyo tango nini?
Sometimes I wish I were a little bird.	Tango mosusu na tombela ete nazala mwa ndeke moke.
This is so embarrassing.	Yango ezali penza na mitungisi.
